No,지역,지역.1,지역.2,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
21,경기,부천시,(구)원미구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,경기,부천시,(구)소사구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,경기,부천시,(구)오정구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,경기,광명시,광명시,86.696,87.088,87.519,87.937,88.342,88.763,89.155,89.553,89.950,90.342,90.748,91.159,91.569,91.977,92.341,92.656,92.885,93.020,93.104,93.161,93.167,93.180,93.190,93.214,93.229,93.251,93.269,93.364,93.502,93.731,93.921,94.093,94.256,94.397,94.567,94.757,94.938,95.158,95.380,95.613,95.832,96.061,96.338,96.659,96.917,97.156,97.405,97.660,97.914,98.184,98.445,98.727,98.986,99.238,99.487,99.750,100.000,100.245,100.494
25,경기,평택시,평택시,90.716,91.000,91.286,91.535,91.841,92.127,92.336,92.570,92.793,93.029,93.310,93.592,93.889,94.181,94.468,94.733,95.001,95.119,95.185,95.189,95.154,95.148,95.138,95.162,95.197,95.288,95.377,95.577,95.758,95.942,96.136,96.339,96.630,96.891,97.155,97.428,97.707,97.945,98.160,98.369,98.543,98.705,98.853,99.005,99.144,99.295,99.447,99.568,99.670,99.762,99.830,99.867,99.862,99.856,99.891,99.947,100.000,100.046,100.121
26,경기,동두천시,동두천시,95.263,95.457,95.653,95.905,96.154,96.416,96.667,96.901,97.095,97.289,97.503,97.731,97.979,98.220,98.468,98.674,98.814,98.872,98.861,98.837,98.817,98.792,98.784,98.780,98.777,98.770,98.767,98.778,98.788,98.799,98.809,98.818,98.828,98.843,98.873,98.878,98.900,98.926,98.971,99.029,99.140,99.245,99.290,99.343,99.379,99.419,99.468,99.541,99.584,99.625,99.685,99.734,99.793,99.846,99.896,99.948,100.000,100.053,100.094
27,경기,안산시,안산시,89.979,90.280,90.584,90.886,91.175,91.478,91.785,92.078,92.361,92.633,92.922,93.227,93.510,93.782,94.046,94.310,94.521,94.635,94.705,94.694,94.675,94.659,94.657,94.647,94.642,94.637,94.653,94.699,94.747,94.859,94.997,95.146,95.302,95.450,95.623,95.809,95.996,96.189,96.378,96.604,96.832,97.027,97.199,97.352,97.511,97.700,97.921,98.151,98.377,98.594,98.811,99.020,99.226,99.421,99.613,99.811,100.000,100.193,100.380
28,경기,안산시,상록구,90.010,90.282,90.556,90.835,91.109,91.393,91.672,91.964,92.241,92.522,92.797,93.083,93.382,93.658,93.932,94.207,94.415,94.524,94.596,94.606,94.590,94.585,94.583,94.578,94.574,94.581,94.595,94.641,94.704,94.806,94.982,95.141,95.312,95.487,95.663,95.843,96.028,96.212,96.396,96.605,96.813,97.020,97.208,97.392,97.570,97.746,97.950,98.166,98.388,98.600,98.811,99.020,99.227,99.422,99.615,99.810,100.000,100.194,100.383
29,경기,안산시,단원구,89.923,90.235,90.553,90.864,91.159,91.474,91.793,92.087,92.373,92.642,92.939,93.254,93.532,93.802,94.066,94.325,94.539,94.661,94.732,94.706,94.687,94.670,94.669,94.660,94.655,94.651,94.671,94.720,94.762,94.878,94.985,95.127,95.279,95.415,95.590,95.782,95.972,96.173,96.368,96.601,96.843,97.034,97.199,97.336,97.484,97.680,97.909,98.144,98.371,98.592,98.811,99.021,99.226,99.420,99.612,99.812,100.000,100.192,100.379
30,경기,고양시,고양시,91.010,91.309,91.631,91.962,92.267,92.556,92.844,93.133,93.407,93.679,93.959,94.251,94.560,94.857,95.144,95.437,95.665,95.797,95.846,95.761,95.715,95.704,95.700,95.711,95.728,95.761,95.797,95.844,95.888,95.939,96.051,96.164,96.265,96.411,96.587,96.748,96.905,97.084,97.257,97.436,97.619,97.774,97.924,98.056,98.163,98.297,98.446,98.614,98.757,98.904,99.052,99.193,99.351,99.516,99.678,99.852,100.000,100.151,100.304
